# OpenStreetMap speed cameras, India bbox, ODbL. limit 0 = unknown.
10.798067,76.775135,0
10.799225,76.751211,80
10.799226,76.754986,0
10.799310,76.754400,0
10.799314,76.751186,70
10.800600,76.180255,0
10.804765,76.788131,0
10.805108,76.788334,0
10.820143,76.810423,0
10.826600,76.822064,0
10.826715,76.822056,0
10.842111,76.838899,0
10.842118,76.838786,0
10.849516,76.840823,0
11.062223,75.932312,0
11.070810,75.907098,0
11.070836,75.906812,0
11.071090,75.906352,80
11.203018,75.814527,80
11.269564,76.017178,0
11.304340,75.789605,70
11.313224,75.781275,70
12.356915,76.661650,100
12.357156,76.527251,40
12.357252,76.527226,40
12.366622,76.661845,100
12.385821,76.666707,100
12.385834,76.666848,100
12.394131,76.667786,100
12.432227,76.717106,100
12.471593,75.008756,80
12.496547,76.806695,100
12.496571,76.808599,100
12.509448,76.841458,100
12.558565,76.979488,100
12.558697,76.979426,100
12.610911,77.082968,100
12.631537,77.116777,100
12.642549,77.157268,100
12.642685,77.157224,100
12.643647,77.162116,100
12.643734,77.160733,100
12.738657,77.247681,100
12.743467,77.251277,100
12.770987,77.351411,100
12.775107,77.358633,100
12.775169,77.358481,100
12.816835,77.396782,100
12.849677,77.423955,100
12.849695,77.423831,100
12.850349,77.582378,80
12.850369,77.582051,80
12.853334,77.542100,80
12.853556,77.541943,80
12.862232,77.648533,120
12.864287,77.511322,80
12.864501,77.511257,120
12.878588,77.494990,80
12.879183,77.494940,80
12.881086,77.493264,80
12.884711,77.642523,0
12.898369,77.473242,80
12.901426,77.632348,60
12.951719,77.621512,0
12.968044,77.592488,0
12.976176,77.586996,0
12.978397,77.640597,0
12.978415,77.640577,0
12.978433,77.640596,0
12.979125,77.602617,0
12.979131,77.602623,0
12.981787,77.594521,0
12.989484,77.592977,0
12.989507,77.593000,0
13.015306,77.642975,0
13.015413,77.642883,0
13.015452,77.642797,0
13.041033,77.864618,120
13.041343,77.864608,120
13.089944,78.601905,0
13.090425,78.606110,0
13.127292,77.812822,80
13.128842,77.811662,80
13.131600,77.809768,100
13.174041,77.787834,100
13.174041,77.787921,100
13.175961,77.787167,80
13.176585,77.787044,80
13.198438,77.698776,80
13.204651,80.174791,0
13.221764,79.149474,0
13.223717,79.129527,0
13.223785,79.129520,0
13.259845,79.056706,0
13.267322,77.711939,80
13.267413,77.711203,80
13.267543,77.711068,80
13.282714,77.394548,100
13.284108,77.401739,100
14.516303,75.771436,80
14.679156,75.547262,0
14.771098,75.423496,0
15.387863,73.858703,50
16.769149,96.167750,50
16.774848,96.142485,0
16.776975,96.137090,0
16.777190,96.167264,0
16.778383,96.172808,0
16.778907,96.168031,50
16.779604,96.167374,0
16.783199,96.174324,0
16.787088,96.162263,0
16.804556,96.195213,0
16.819136,96.132892,70
16.824456,96.146288,70
16.868910,96.147240,50
17.314241,78.443794,60
17.963185,78.473776,60
18.344377,78.322191,80
18.568478,73.766975,0
18.568570,73.766999,0
18.662757,73.725197,100
18.662922,73.725198,100
18.683002,73.692894,100
18.703767,73.675569,100
18.703888,73.675841,100
18.704281,73.670162,100
18.704656,73.671909,100
18.706816,73.600207,100
18.706970,73.600089,100
18.707132,73.660911,100
18.707867,73.659264,100
18.708080,73.659212,100
18.709359,73.609547,100
18.709387,73.571819,100
18.709571,73.571855,100
18.712550,73.619668,50
18.713717,73.561526,100
18.713905,73.561627,100
18.716342,73.634964,40
18.716451,73.557897,100
18.716589,73.558018,100
18.716618,73.637888,40
18.716811,73.637878,40
18.733256,73.444436,100
18.733436,73.444431,100
18.740915,73.468498,100
18.741088,73.468445,100
18.741435,73.429425,100
18.741449,73.429602,100
18.743175,73.480691,100
18.743352,73.480658,100
18.746814,73.501035,100
18.746993,73.501010,100
18.751279,73.522927,100
18.751459,73.522942,100
18.759429,73.371925,60
18.760858,73.424091,100
18.760983,73.424116,100
18.763019,73.348630,60
18.763392,73.355614,60
18.764694,73.355937,60
18.764907,73.387785,60
18.765838,73.388255,60
18.765928,73.388111,60
18.766004,73.369482,60
18.766492,73.388392,60
18.766812,73.360492,60
18.766873,73.345552,60
18.768382,73.361708,60
18.768419,73.340542,60
18.769375,73.398376,100
18.770283,73.342335,60
18.773077,73.322119,60
18.778437,73.317312,60
18.778582,73.317425,60
18.788581,73.306724,100
18.788693,73.306954,100
18.793292,73.293040,100
18.794690,73.289911,100
18.794759,73.290130,100
18.816391,73.273630,100
18.822530,73.265533,100
18.823878,73.264833,100
18.849402,73.229730,100
18.851428,73.228576,100
18.851513,73.228746,100
18.891970,73.205465,100
18.899365,73.202135,100
18.911900,73.180858,100
18.912083,73.181021,100
18.946879,73.155592,100
18.946909,73.155387,100
18.955404,73.155814,100
18.974456,73.153739,100
18.974574,73.153882,100
18.976853,73.151817,100
18.983910,73.145173,100
18.984032,73.145312,100
19.013009,73.116485,100
19.056371,72.930599,0
19.056500,72.930607,0
19.060377,72.921483,0
19.060496,72.921536,0
24.300627,89.101604,0
25.423787,75.613513,80
25.424161,75.613234,80
25.442808,75.608913,80
25.629454,85.104061,0
26.779679,75.826536,40
26.814652,75.800157,40
26.838527,75.787897,40
26.839305,75.797966,40
26.840047,75.852440,40
26.842043,75.766421,40
26.862444,75.806849,40
26.872598,75.749696,40
26.883172,75.812047,40
26.895365,75.733585,60
27.009369,75.789657,60
27.184480,77.443045,60
27.661896,85.317381,50
27.661956,85.317443,50
27.662011,85.317491,50
27.662076,85.317545,50
27.664162,85.330171,50
27.672416,85.303235,50
27.672633,85.303595,50
27.674330,85.368122,50
27.674361,85.365884,50
27.674381,85.364996,50
27.676717,85.346521,50
27.676802,85.346454,50
27.676837,85.346407,50
27.676896,85.346349,50
27.677468,85.347657,50
27.677540,85.347580,50
27.677586,85.347525,50
27.677645,85.347474,50
27.677808,85.301973,50
27.677809,85.302252,50
27.677812,85.302160,50
27.677814,85.302085,50
27.682709,85.349314,50
27.682720,85.349443,50
28.206598,83.959045,30
28.527566,77.169986,50
28.536553,77.173109,50
28.536580,77.172996,50
28.548473,77.162738,0
28.549202,77.163086,0
28.592984,77.241036,0
28.603462,77.268805,0
28.634684,77.254936,60
28.721499,77.140653,60
30.881701,75.775017,50
32.186227,76.364507,40
33.531038,73.146543,50
34.075466,74.794579,0
